identifier,index_type,datastore,compression,index_size_mb,mode,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,avg_memory_mb,throughput_qps
SelfIndex_i1d1c1qTo0,Boolean,JSON,None,574.9893885,TAAT,0.301401954,0.002100001,0.281700006,6.8895,0.001100001,7.050100001,6.10E-05,3317.828529
SelfIndex_i1d1c1qTo0,Boolean,JSON,None,574.9893885,DAAT,0.002547266,0.002000001,0.007099996,0.008499999,0.001100001,0.019699997,0,392577.806
SelfIndex_i1d1c2qTo0,Boolean,JSON,VByte,589.3546171,TAAT,0.268455078,0.002100001,0.027299997,5.953100001,0.001099994,6.664299995,1.53E-05,3725.018005
SelfIndex_i1d1c2qTo0,Boolean,JSON,VByte,589.3546171,DAAT,0.002717578,0.002000001,0.006499999,0.012299999,0.001100001,0.038600003,0,367974.6745
SelfIndex_i1d1c3qTo0,Boolean,JSON,Zlib,233.9120054,TAAT,0.301655469,0.002100001,0.114899995,6.627700001,0.001,7.798700004,0.002426147,3315.040181
SelfIndex_i1d1c3qTo0,Boolean,JSON,Zlib,233.9120054,DAAT,0.002739063,0.002099994,0.006100003,0.014400001,0.001199995,0.021100001,0,365088.4054
SelfIndex_i1d3c1qTo0,Boolean,SQLite,None,625.5429688,TAAT,0.275512891,0.002100001,0.027299997,6.101300001,0.001100001,6.840599999,0.001907349,3629.594237
SelfIndex_i1d3c1qTo0,Boolean,SQLite,None,625.5429688,DAAT,0.002562109,0.002000001,0.005299997,0.013199999,0.001499997,0.017999999,0,390303.4327
SelfIndex_i1d3c2qTo0,Boolean,SQLite,VByte,491.8984375,TAAT,0.293499219,0.002099994,0.023799999,6.511400003,0.001100001,7.101499999,0.003112793,3407.164096
SelfIndex_i1d3c2qTo0,Boolean,SQLite,VByte,491.8984375,DAAT,0.002539062,0.002000001,0.006499999,0.012700002,0.001100001,0.019799998,0,393846.1792
SelfIndex_i1d3c3qTo0,Boolean,SQLite,Zlib,218.4882813,TAAT,0.308201953,0.002300003,0.053199998,6.924500005,0.001,7.123900003,0.0025177,3244.625773
SelfIndex_i1d3c3qTo0,Boolean,SQLite,Zlib,218.4882813,DAAT,0.003277344,0.002399996,0.008399998,0.0143,0.001300003,0.0277,0,305125.133
SelfIndex_i2d1c1qTo0,TF,JSON,None,634.4881191,TAAT,6.196600782,5.283500002,12.0328,18.77,0.037600003,46.2641,0.032180786,161.3788003
SelfIndex_i2d1c1qTo0,TF,JSON,None,634.4881191,DAAT,5.600611328,4.971899994,11.2125,17.6408,0.032999997,22.2493,4.58E-05,178.5519368
SelfIndex_i2d1c2qTo0,TF,JSON,VByte,618.1728573,TAAT,49.84152891,45.6613,98.0479,153.7538,0.047100002,203.0884,0.058105469,20.06358998
SelfIndex_i2d1c2qTo0,TF,JSON,VByte,618.1728573,DAAT,52.27655742,49.51880001,107.7033,156.6869,0.046399997,221.5246,0.004089355,19.12903315
SelfIndex_i2d1c3qTo0,TF,JSON,Zlib,245.9221668,TAAT,26.72565547,28.2841,54.3153,84.0711,0.040699997,103.7212,0.058349609,37.41723009
SelfIndex_i2d1c3qTo0,TF,JSON,Zlib,245.9221668,DAAT,27.56253242,29.8744,57.9603,86.9202,0.042600004,121.1441,0.000152588,36.28113646
SelfIndex_i2d3c1qTo0,TF,SQLite,None,686.09375,TAAT,7.178690234,6.125300002,16.2107,22.649,0.042200001,27.0739,0.06060791,139.3011771
SelfIndex_i2d3c1qTo0,TF,SQLite,None,686.09375,DAAT,6.222564844,5.278899996,12.0783,19.0741,0.035200006,25.5869,0,160.7054366
SelfIndex_i2d3c2qTo0,TF,SQLite,VByte,514.2460938,TAAT,7.049305859,6.255500004,13.7781,20.0252,0.037999998,28.7538,0.074829102,141.8579389
SelfIndex_i2d3c2qTo0,TF,SQLite,VByte,514.2460938,DAAT,6.807646484,5.8422,16.5677,23.102,0.033000004,30.645,4.58E-05,146.8936441
SelfIndex_i2d3c3qTo0,TF,SQLite,Zlib,227.7460938,TAAT,6.698685156,5.951299994,12.7607,21.7245,0.036600002,25.63610001,0.102844238,149.2830274
SelfIndex_i2d3c3qTo0,TF,SQLite,Zlib,227.7460938,DAAT,6.661550391,5.613200003,14.3909,19.9487,0.0353,29.2812,0,150.1152046
SelfIndex_i3d1c1qTo0,TF-IDF,JSON,None,651.2121572,TAAT,6.535425781,5.740000001,12.8526,20.1805,0.040400002,25.0972,0.023681641,153.0122189
SelfIndex_i3d1c1qTo0,TF-IDF,JSON,None,651.2121572,DAAT,6.142833593,5.458200001,11.5142,17.7956,0.035699995,26.101,0.00390625,162.7913218
SelfIndex_i3d1c2qTo0,TF-IDF,JSON,VByte,634.896904,TAAT,41.03455234,37.0581,79.7617,131.3166,0.050199997,162.9303,0.060668945,24.36970657
SelfIndex_i3d1c2qTo0,TF-IDF,JSON,VByte,634.896904,DAAT,52.02466133,49.2664,100.4943,158.5954,0.061500003,223.1127,0.004104614,19.22165324
SelfIndex_i3d1c3qTo0,TF-IDF,JSON,Zlib,262.6462135,TAAT,27.28479766,29.5301,59.9607,84.6265,0.039400002,119.153,0.066055298,36.65044589
SelfIndex_i3d1c3qTo0,TF-IDF,JSON,Zlib,262.6462135,DAAT,27.60570273,29.8506,55.621,82.4947,0.0421,117.3424,-0.004150391,36.22439934
SelfIndex_i3d3c1qTo0,TF-IDF,SQLite,None,719.0234375,TAAT,7.473665234,6.440099998,14.5377,21.4379,0.041200001,29.5951,-0.014556885,133.8031566
SelfIndex_i3d3c1qTo0,TF-IDF,SQLite,None,719.0234375,DAAT,7.270695312,6.411599999,14.2239,21.31690001,0.073000003,30.5829,0,137.5384275
N/A,3,3,VByte,0,TAAT,7.470666797,0,14.8462,0,0,0,0,133.8568601
N/A,3,3,VByte,0,DAAT,6.552895703,0,12.8309,0,0,0,0,152.6042906
N/A,3,3,Zlib,0,TAAT,6.832004297,0,13.1689,0,0,0,0,146.3699314
N/A,3,3,Zlib,0,DAAT,6.482074609,0,12.27,0,0,0,0,154.2715967
